,Unnamed: 0,symbol,companyName,exchange,industry,website,CEO,sector
76,76,HCA,"HCA Healthcare, Inc.",New York Stock Exchange,Hospital/Nursing Management,http://www.hcahealthcare.com,Samuel N. Hazen,Health Services
77,77,PEAK,"Healthpeak Properties, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.healthpeak.com,Thomas M. Herzog,Finance
78,78,HP,"Helmerich & Payne, Inc.",New York Stock Exchange,Contract Drilling,http://www.hpinc.com,John W. Lindsay,Industrial Services
79,79,HSIC,"Henry Schein, Inc.",NASDAQ,Medical Distributors,http://www.henryschein.com,Stanley M. Bergman,Distribution Services
80,80,HSY,The Hershey Co.,New York Stock Exchange,Food: Specialty/Candy,http://www.thehersheycompany.com,Michele G. Buck,Consumer Non-Durables
81,81,HES,Hess Corp.,New York Stock Exchange,Oil & Gas Production,http://www.hess.com,John B. Hess,Energy Minerals
82,82,HPE,Hewlett-Packard Enterprise Co.,New York Stock Exchange,Computer Processing Hardware,http://www.hpe.com,Antonio Fabio Neri,Electronic Technology
83,83,HLT,"Hilton Worldwide Holdings, Inc.",New York Stock Exchange,Hotels/Resorts/Cruiselines,http://www.hiltonworldwide.com,Christopher J. Nassetta,Consumer Services
84,84,HFC,HollyFrontier Corp.,New York Stock Exchange,Oil Refining/Marketing,http://www.hollyfrontier.com,Michael C. Jennings,Energy Minerals
85,85,HOLX,"Hologic, Inc.",NASDAQ,Medical Specialties,http://www.hologic.com,Stephen P. MacMillan,Health Technology
86,86,HD,"The Home Depot, Inc.",New York Stock Exchange,Home Improvement Chains,http://www.homedepot.com,Craig A. Menear,Retail Trade
87,87,HON,"Honeywell International, Inc.",New York Stock Exchange,Industrial Conglomerates,http://www.honeywell.com,Darius Adamczyk,Producer Manufacturing
88,88,HRL,Hormel Foods Corp.,New York Stock Exchange,Food: Meat/Fish/Dairy,http://www.hormelfoods.com,James P. Snee,Consumer Non-Durables
89,89,HST,"Host Hotels & Resorts, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.hosthotels.com,James F. Risoleo,Finance
90,90,HWM,"Howmet Aerospace, Inc.",New York Stock Exchange,Aluminum,http://www.howmet.com,John C. Plant,Non-Energy Minerals
91,91,HPQ,"HP, Inc.",New York Stock Exchange,Computer Processing Hardware,http://www.hp.com,Enrique Lores,Electronic Technology
92,92,HUM,"Humana, Inc.",New York Stock Exchange,Managed Health Care,http://www.humana.com,Bruce Dale Broussard,Health Services
